ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa01522	Endocrine resistance	4/34	98/8146	0.000692554741800226	0.00451354642069803	0.00251381031506434	MMP2/MAPK1/MAPK14/MMP9	4
hsa05167	Kaposi sarcoma-associated herpesvirus infection	5/34	194/8146	0.00115433195342984	0.00712681403946755	0.00396926429377196	MAPK1/MAPK14/CHUK/VEGFA/MYC	5
hsa04010	MAPK signaling pathway	6/34	294/8146	0.00120257520960873	0.00712681403946755	0.00396926429377196	MAPK1/MAPK14/PLA2G4A/CHUK/VEGFA/MYC	6
hsa04913	Ovarian steroidogenesis	3/34	51/8146	0.00120665634530667	0.00712681403946755	0.00396926429377196	ALOX5/CYP19A1/PLA2G4A	3
hsa04726	Serotonergic synapse	4/34	115/8146	0.00126074262267376	0.00722061683894974	0.00402150756833736	SLC6A4/ALOX5/MAPK1/PLA2G4A	4
hsa05169	Epstein-Barr virus infection	5/34	202/8146	0.00138237379373765	0.00768437197107104	0.00427979502705154	CDK2/CXCL10/MAPK14/CHUK/MYC	5
hsa05206	MicroRNAs in cancer	6/34	310/8146	0.00157981726716361	0.00853101324268349	0.00475133012680785	HMOX1/MAPK1/VEGFA/MYC/TP63/MMP9	6
hsa04380	Osteoclast differentiation	4/34	128/8146	0.00187244898355749	0.00983035716367681	0.00547499702794587	MAPK1/PPARG/MAPK14/CHUK	4
hsa05166	Human T-cell leukemia virus 1 infection	5/34	222/8146	0.00209755320964588	0.0107145285573803	0.00596743445133962	MAPK1/BCL2L1/CDK2/CHUK/MYC	5
hsa05163	Human cytomegalovirus infection	5/34	225/8146	0.00222455012181005	0.011064209816371	0.00616218870307492	MAPK1/MAPK14/CHUK/VEGFA/MYC	5
hsa05171	Coronavirus disease - COVID-19	5/34	232/8146	0.00254272573417965	0.0123224400964091	0.00686295744717854	MAPK1/CXCL10/MAPK14/CHUK/MMP1	5
hsa04014	Ras signaling pathway	5/34	235/8146	0.002688797232585	0.0127045669239641	0.00707578219101317	MAPK1/BCL2L1/PLA2G4A/CHUK/VEGFA	5
hsa04622	RIG-I-like receptor signaling pathway	3/34	70/8146	0.0030049831116224	0.0138522392218691	0.00771497589633478	CXCL10/MAPK14/CHUK	3
hsa04115	p53 signaling pathway	3/34	73/8146	0.0033853188191299	0.0152339346860845	0.0084845083186213	BCL2L1/CDK2/IGFBP3	3
hsa04918	Thyroid hormone synthesis	3/34	75/8146	0.00365456446814074	0.0160630856855488	0.00894630224759055	GSR/HSPA5/ALB	3
hsa01521	EGFR tyrosine kinase inhibitor resistance	3/34	79/8146	0.00423157096914554	0.0181765207538297	0.0101233755242716	MAPK1/BCL2L1/VEGFA	3
hsa05225	Hepatocellular carcinoma	4/34	168/8146	0.00499658060666378	0.0209856385479879	0.0116879078518451	HMOX1/MAPK1/BCL2L1/MYC	4
hsa04610	Complement and coagulation cascades	3/34	85/8146	0.00519605425643221	0.0213490055318628	0.0118902843396618	PLAT/THBD/F3	3
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	3/34	89/8146	0.00590696123115817	0.0237535249508276	0.0132294764415637	MAPK1/MAPK14/CHUK	3
hsa04658	Th1 and Th2 cell differentiation	3/34	92/8146	0.00647666543133143	0.0255018701358675	0.0142032136652005	MAPK1/MAPK14/CHUK	3
hsa04621	NOD-like receptor signaling pathway	4/34	184/8146	0.00688134718251559	0.0265423391325601	0.0147827007143192	MAPK1/BCL2L1/MAPK14/CHUK	4
hsa04062	Chemokine signaling pathway	4/34	192/8146	0.0079801268776029	0.030164879597339	0.0168002671107429	MAPK1/CXCL11/CXCL10/CHUK	4
hsa04914	Progesterone-mediated oocyte maturation	3/34	102/8146	0.0086079960851519	0.0311955173601278	0.0173742786745351	MAPK1/CDK2/MAPK14	3
hsa05142	Chagas disease	3/34	102/8146	0.0086079960851519	0.0311955173601278	0.0173742786745351	MAPK1/MAPK14/CHUK	3
hsa04974	Protein digestion and absorption	3/34	103/8146	0.00884117788843152	0.0311955173601278	0.0173742786745351	COL3A1/COL1A1/DPP4	3
hsa04625	C-type lectin receptor signaling pathway	3/34	104/8146	0.00907806060744461	0.0311955173601278	0.0173742786745351	MAPK1/MAPK14/CHUK	3
hsa04660	T cell receptor signaling pathway	3/34	104/8146	0.00907806060744461	0.0311955173601278	0.0173742786745351	MAPK1/MAPK14/CHUK	3
hsa04659	Th17 cell differentiation	3/34	108/8146	0.0100628519088251	0.0339621251922849	0.0189151351669645	MAPK1/MAPK14/CHUK	3
hsa04066	HIF-1 signaling pathway	3/34	109/8146	0.0103184247731857	0.0342137242479316	0.0190552627390318	HMOX1/MAPK1/VEGFA	3
hsa05170	Human immunodeficiency virus 1 infection	4/34	212/8146	0.0112194970110719	0.0363203778196795	0.020228559075288	MAPK1/BCL2L1/MAPK14/CHUK	4
hsa05165	Human papillomavirus infection	5/34	331/8146	0.0113381073616989	0.0363203778196795	0.020228559075288	MAPK1/COL1A1/CDK2/CHUK/VEGFA	5
hsa04670	Leukocyte transendothelial migration	3/34	114/8146	0.0116530942956591	0.0367072470313263	0.0204440250801038	MMP2/MAPK14/MMP9	3
hsa04935	Growth hormone synthesis, secretion and action	3/34	119/8146	0.0130833488472887	0.0405369333137307	0.0225769609099029	MAPK1/MAPK14/IGFBP3	3
