Names	total	elements
		EFEMP2
		TNFRSF1B
		AEBP1
		PLEC
		SLC25A6
		IL22RA1
		FAH
		FRK
		TNFRSF11A
		LOXL3
		XBP1
		TLR4
		CYP2C8
		NOG
		CANX
		ADIPOR2
		CIRBP
		SHROOM2
		CRTAC1
		ORM2
		GPX3
		TIMP2
		FOXD1
		IL11
		LCN2
		SPARC
		DDR2
		COL5A1
		F3
		THSD4
		FOXO3
		LPAR1
		RELN
		NKX3-2
		TRPS1
		SFRP1
		GSTT1
		IL7
		HAPLN1
		S100A9
		PLCE1
		ADAM12
		GAS5
		CYCS
		FGFR1
		BBC3
		SMO
		KPNA2
		GHR
		TPI1
		PF4
		ZNF334
		LTBP1
		CPEB1
		FGFR3
		TP73-AS1
		CHI3L1
		CLEC3B
		NPHS1
		FN1
		RSPO2
		LOXL1
		CSTA
		VIT
		SNAI1
		TNF
		COL5A2
		SELP
		THY1
		KIT
		UCA1
		WNT5A
		BMP7
		TRAPPC5
		FCGR3A
		FCAR
		SLCO1B1
		CDK4
		FMOD
		SLC19A1
		ACAN
		APEX1
		GPT
		TNFSF13
		BSG
		EFEMP1
		MOCS1
		IHH
		WNT1
		DBP
		LUM
		C1S
		HMOX1
		HOTAIR
		CCR6
		COL11A2
		NAMPT
		MAPK1
		PGF
		DKK3
		PLAT
		MYLK
		CXCR3
		GPBAR1
		IL4
		SLC25A27
		XIST
		SLC39A13
		TMEM38B
		SPTA1
		PCMTD1
		EIF4EBP1
		NID2
		IL17RA
		GGCT
		GLRX
		SAA1
		ADIPOR1
		GRINA
		ENO1
		LOX
		ZNF469
		CAT
		SSPN
		ADM
		NOD2
		HTR2A
		GAPDH
		TLR2
		IL18R1
		PLAUR
		BMP5
		CYBA
		PTEN
		SLC6A4
		SLC22A4
		GK
		ALOX5
		PLEK
		NLRP3
		CD33
		TGM2
		MEOX1
		PTPN11
		FBN2
		DPP4
		IKZF1
		SLC26A8
		PLA2G2A
		COL15A1
		UBA7
		TNFSF10
		THBS3
		NUP153
		IDH2
		ANKAR
		GPI
		IFITM5
		TSC22D3
		CDH2
		PPARG
		HSPA4
		TRH
		CXCL11
		NYX
		CPB2
		SLBP
		CKS1B
		KLRK1
		CEACAM4
		SDC4
		FGFR2
		CHUK
		CCL20
		SLPI
		IRAK3
		OLAH
		PRPS1
		GNA15
		ACO1
		PFKFB3
		LIG4
		BMP4
		SFRP4
		MC1R
		IL1RAP
		TFRC
		ILF3
		FBN1
		DIS3
		CCND3
		ADA
		RAN
		PSMD14
		CD34
		SERPINH1
		AFF2
		PTPRD
		IL2RA
		FAP
		PRG4
		LOXL2
		DNMT1
		ADAMTS1
		CFI
		GZMA
		SNHG5
		FLT3
		TSPO
		CDH1
		HSPA5
		FNDC5
		TNFSF13B
		RHOB
		CAGE1
		COL2A1
		PTH2R
		PRTN3
		CXCL9
		BCL2L1
		C4orf47
		CA2
		HSP90B1
		TRAF1
		HSH2D
		AP3D1
		NPR2
		BUB1B
		SSTR1
		ATF6
		HMMR
		ENPP1
		CCR5
		YAP1
		MIF
		SOX11
		P4HB
		COL10A1
		ACTA2
		PVT1
		PARD3B
		CEBPB
		DHODH
		IL2RB
		SRF
		TP63
		GDF3
		MMP9
                                                                                                                            1	1425	FSTL1
		CREB3L1
		CD44
		MEFV
		EDN1
		GGT3P
		GALNT3
		NTRK1
		DDB1
		SLC6A11
		EP300
		NOS2
		SLC26A1
		ZEB1
		ERG
		LRMDA
		HEPH
		MET
		MIR1246
		NR4A2
		MIR200B
		CXCL13
		LEP
		SUGCT
		UFSP1
		CCL22
		PTPN22
		CYP2D6
		LOC101928222
		MIR331
		TEK
		TRPM6
		CD160
		UGT2B7
		PDCD5
		HES1
		CLDN16
		CEP350
		FOXP3
		SHROOM1
		SIRT6
		NCOR2
		TNFRSF9
		ALX1
		TLR8-AS1
		ROR2
		UFM1
		USP14
		APOE
		DSTN
		F8A1
		HDAC7
		F2RL1
		LCOR
		CDK1
		TMPO-AS1
		TRAPPC9
		SHBG
		P2RX3
		PREP
		FBXL19-AS1
		SLC24A5
		BCL2
		ARL13B
		BDKRB1
		NME8
		PIK3CB
		TNXB
		CARD8
		COG1
		CLCN4
		ASS1
		EN1
		F7
		TFR2
		SAMM50
		LOC111365141
		CYP1A1
		GNA11
		ARSH
		TACR1
		ZNF687
		HTR3A
		PRDX4
		TKTL1
		FGF1
		MIR885
		UFL1
		DBH
		CIITA
		MUTYH
		EPGN
		GSTP1
		IGDCC3
		SLC9A3R1
		PACERR
		PDIA3P1
		DOCK11
		HCFC1
		MIR206
		NCR2
		IL18BP
		AHR
		NFE2L2
		IL23R
		SLEN1
		BTK
		OAP
		IDS
		ATP7B
		PPARGC1A
		DUS4L
		TNFAIP6
		PCAT1
		BRD4
		MIA2
		HRH2
		CYP3A5
		SOX9
		PITX1
		PACSIN3
		CELSR3
		SLC34A3
		JUND
		CAMK2B
		TTC3
		MIR29B2
		IL23A
		C5
		TGFB2-AS1
		ASTN2
		TFE3
		KCTD13
		HLA-DOA
		CCAL1
		PECR
		MIR16-2
		TYRP1
		TNFRSF17
		LOC100130744
		LGR5
		TSHZ1
		TNFRSF1A
		CASP1
		CD8A
		HBP1
		XIAP
		GPS1
		ATP6V0A2
		KIAA0319L
		SLC29A3
		SUMF1
		B2M
		MIRLET7E
		OLR1
		SPG7
		AGER
		MIR221
		GPR33
		MICA
		FIS1
		TLR5
		IL18
		IGFBP2
		ANP32A
		SOST
		MIR138-2
		ERCC8
		GPX4
		CCAR2
		CMKLR1
		ZFAS1
		ESRRB
		HRAS
		HOTAIRM1
		MAP2K4
		ITGB2
		FOLR2
		MIR361
		LAMA1
		APOL1
		MME
		ARSA
		MUS81
		MACIR
		ARID1B
		TRAPPC6A
		GAL
		MIR21
		GSK3B
		GPD1L
		PIGT
		FOXO1
		BLK
		GBP4
		CLCNKB
		TAAR9
		HLA-DQA1
		SERPINA4
		WNT16
		CRTAP
		KRT86
		LOC106146152
		SFTPA1
		BANF1
		MIR152
		RNF217-AS1
		MIR28
		GBA2
		MCF2L
		AK1
		SCARNA22
		DGCR8
		CCL11
		PRKN
		MIR195
		HTR1A
		KMT2D
		MMP3
		TRAF6
		CCL18
		BRCA2
		FMR1
		MELTF-AS1
		ERCC4
		MIR34A
		TECTB
		MIR222
		CNTD1
		COMMD1
		CBX4
		ADCYAP1
		MFGE8
		LOC106050102
		IL10
		NFKBIL1
		TLR10
		NAGLU
		SCG2
		MDM2
		TAP2
		CXCL2
		EGFR
		VPS4B
		ACOT11
		SOD1
		MIR130A
		SIRT5
		ZFP36L1
		PCGEM1
		CREB1
		ERBB2
		ADAMTS8
		MIR675
		STAB1
		RPS3A
		GLT8D1
		CD28
		DIABLO
		TRHR
		CHRDL2
		PALMD
		TMEM43
		STAT5B
		MIR93
		GLIS3
		NACA2
		KLF5
		FBLN2
		TMEM167A
		F10
		LOC112543491
		H2AX
		ABL1
		VIM2P
		MOCOS
		PRDM10
		BRDT
		USP33
		PPP1CB
		CABIN1
		SYNE1
		MBTPS2
		MVK
		APLN
		CD247
		MIR155
		SLC26A2
		PTH
		TARDBP
		ADIRF
		KNG1
		CANT1
		SLAMF7
		MT-CO1
		SOX6
		SYNJ2BP
		THRA
		MIR22
		SGSH
		TYR
		IL10RA
		VCAN
		DNAH8
		CNC2
		SFTPC
		MIR140
		LRCH1
		MIR138-1
		CDKN1A
		LPL
		LOC102723692
		L13304-025
		GSTZ1
		CTRL
		PIK3R1
		MAF
		OS6
		MIR181C
		OTC
		MIR199A1
		ABCB11
		SLC22A12
		OTULIN
		TFEB
		HDAC1
		SHOX
		BLZF1
		PMS2P2
		HPSE
		MIR196A2
		POMC
		IL9
		NFKBIA
		CRTC1
		DCN
		SUCLG2
		MIR24-2
		PRNCR1
		TREM1
		NARS2
		GALNS
		KCNJ11
		FAM20C
		BRD3
		SERPINA3
		HEXA
		MIR483
		ADAMTSL1
		BRAF
		TWIST1
		PAX5
		LY96
		IL1R1
		PROCR
		MIR4435-2
		USP8
		ITGB5
		YIPF3
		TYMP
		SI
		NR1D1
		ITGAL
		SHMT2
		OASD
		SNHG29
		CHST3
		ADAMTS7
		MAEA
		HYAL1
		HMGB1
		ATOX1
		SLC6A2
		IL26
		MIR26B
		SEC24D
		MIR146A
		TGFB2
		KIF7
		MIR451A
		MMP13
		UCN
		GNAI3
		CD4
		ITLN1
		DSP
		PTK2B
		MBL2
		SH2D1A
		EPDR1
		L3MBTL2
		KCNJ18
		PKD1
		JAM3
		GPNMB
		EXT2
		CLN8
		ACVRL1
		MECP2
		LAMP1
		NFATC4
		NOS1
		BMPR1A
		PRL
		TIMP3
		LOC106146143
		CREB3L3
		MIR98
		MIR149
		MEPE
		MIR370
		RBM33
		MIR204
		MIR125B2
		SKP1
		MIR19A
		H2AC18
		FAS
		PON1
		HBEGF
		LOC109461476
		SOD3
		MIR223
		CRYAB
		SLC26A3
		SLC40A1
		PTHLH
		TNFRSF11B
		MIR27A
		CD36
		SECISBP2
		MIR320A
		TRAF3
		APBB1
		F9
		STAT4
		CD40
		PTGES3
		TAP1
		MIR23A
		IGFBP7
		FCRL3
		SCN4A
		FAM135A
		BCL2L2
		GPR22
		ALOX15
		NEAT1
		CCL7
		TMPRSS6
		SERPINA1
		RET
		TAPBP
		PRKAA1
		ALX3
		SNX10
		SYNE4
		KRTAP10-1
		RIPK2
		CCN6
		LNCRNA-ATB
		ABCC4
		SLEN2
		PCLO
		ABCD2
		SCUBE1
		TM2D3
		FAAH
		IL17A
		TMPO
		LEPR
		KDM1A
		ILK
		SLC22A8
		OR1L1
		SMPD1
		TH
		GPRC6A
		MIR363
		SPON1
		MIR32
		ELN
		VIM
		LZTS1
		HLA-A
		SUPT3H
		MIR99B
		CD27
		MIR106B
		ADAMTS14
		NR1H2
		ATN1
		ARSB
		ORAI1
		IL34
		MYH11
		MATN3
		PLPPR3
		DUSP1
		SLC45A2
		TGFBR1
		MIR24-1
		RNU105C
		ATM
		TINAG
		MCAM
		TFF2
		ZSWIM6
		SSTR3
		EDEM2
		TMED2
		MIR128-1
		SLC26A11
		SMAD4
		CACNA1F
		PPP1R12C
		IGHV4-38-2
		KEAP1
		PLOD3
		TRAPPC10
		LEMD3
		F8
		IFRD1
		MCL1
		PRNP
		IL27
		IL6
		TRAPPC3L
		CPT2
		TGDS
		CASP3
		FRG2C
		MIR6069
		VDR
		ACE
		IRF4
		MIR449A
		DSPP
		SRCIN1
		P3H4
		FOXP4
		MIR126
		LOC113939944
		MIR125B1
		IL1RAPL2
		CCDC154
		TBL1X
		FUT1
		PECAM1
		CNR2
		CDK9
		MIR337
		PSAP
		CYP1A2
		ONECUT1
		HGD
		LEPQTL1
		SDCBP
		GRIK1
		NOD1
		INA
		PIK3CG
		LPA
		COL4A4
		UTS2
		CYP3A7
		SP1
		FFAR4
		MIR488
		MIR23B
		CD79A
		TRAPPC1
		CKLF
		TRAPPC8
		KDM4C
		TSR2
		CYP2C18
		SDC1
		FGA
		IGFBP1
		TUT7
		FOS
		EMD
		XPO1
		KCNQ2
		MIR142
		FGF2
		CLU
		PRODH
		CXCL12
		CA10
		OPRD1
		CCL16
		COG5
		LDB2
		IGF1R
		CAV1
		H3-2
		HELLS
		LAMA5-AS1
		ALX4
		IL6ST
		PSMB5
		CXCL1
		SFTPB
		CARTPT
		HNF4A
		TNFRSF10B
		RELA
		HIF1A
		COL6A4P1
		NOS3
		ADH1A
		MATN1
		VSX1
		WRN
		TREH
		ERCC6
		SUPT20H
		SIRT3
		AQP1
		ACTB
		CFHR2
		ADAMTS13
		MIR324
		MIR17
		MIR107
		UBA5
		OFCC1
		NOX1
		TGFBR2
		TLR9
		DEAF1
		IL33
		HLA-DMA
		HLA-DRB1
		FGF3
		CLEC16A
		NIT2
		HLA-B
		JAK1
		NRCAM
		AKT1
		GBA3
		FRZB
		CYP2B6
		MIR342
		MALAT1
		PLB1
		CLEC4A
		UCHL5
		GH1
		ANK3
		HPS5
		CCL15
		BSND
		FRMD7
		HSD11B1
		CBX5
		WWP2
		SERPINC1
		STX16
		KCNJ5
		CDC5L
		LMNA
		APOA1
		KHDRBS1
		CDKN2A
		HAS1
		ERN1
		JUN
		CSF1R
		ADAMTS5
		PTH1R
		AR
		LEXM
		HNRNPL
		MYO18B
		TENT5A
		MPG
		MIR30C1
		TFF3
		TNR
		NOTCH1
		OCA2
		SSTR5
		VAV3
		SSTR4
		FOSL1
		MIR577
		NPC1
		UGT1A3
		CD40LG
		B3GAT3
		CYP3A4
		EMSY
		SCN9A
		APP
		MIR33B
		FBLN5
		BIRC3
		TRAPPC6B
		ACTN4
		PSTPIP1
		PDF
		DMP1
		CSPG4
		IGF1
		TECTA
		MITF
		PROP1
		MIR15A
		SPECC1L
		HLA-DRB5
		GPR143
		MIR4435-2HG
		CXADR
		GGT2
		PAPSS2
		CYP2C19
		MIR132
		COL9A2
		CNN1
		TLR1
		UCMA
		CCN4
		SSTR2
		BIRC5
		IFNL1
		PPP3CA
		GNAS
		MTRR
		RIPK4
		IL17RC
		AB372731
		MRAP
		MAPK12
		USP7
		RBFOX1
		NFKB2
		TNFRSF10A
		SLC7A3
		KL
		SLC22A6
		CEACAM16
		KCNK15-AS1
		HLA-DRA
		GUCY2C
		MIR9-1
		GHRL
		UQCC1
		SLAMF1
		LRRK2
		LIF
		ACTC1
		IKZF3
		SLC38A4
		IL5
		HES7
		PTGES
		OPRK1
		MFAP5
		CST3
		LEMD2
		AKNA
		HPS4
		CRP
		OCRL
		GLA
		TENT5C
		DIRC1
		PNOC
		UGT2B4
		TCF4
		ASAH2
		DCSTAMP
		PBX1
		MTR
		MIR211
		ALPP
		SNORA3A
		BCAP29
		MIR181A2
		NR1I3
		GAA
		KLRC1
		STRC
		IL1RL2
		TRAF2
		FAM189B
		WNT3A
		ASAP2
		MIR29B1
		BMP6
		RPE65
		NCOA3
		MIR485
		CCAT1
		CTSB
		COG4
		SIRT2
		CTAG1A
		GANAB
		IKBKG
		NGFR
		MAGEC1
		EGF
		IL1A
		GNRH1
		ERCC1
		ITGB1
		CCL14
		PAX1
		IFT43
		XRCC4
		TRAPPC2
		MIR210
		DPP7
		CREB3
		TAC3
		SPP1
		FBN3
		SFTPD
		F2
		GNS
		ENO2
		PTGS2
		LRP5
		CTNNB1
		HPGDS
		HAS2
		TGIF2
		CYP2C9
		DNMT3A
		CCND1
		CTSK
		PRKDC
		CCL4
		S100B
		BMP2
		ESR1
		PGGT1B
		SST
		PRF1
		OLIG3
		CILP2
		LINC00976
		GRM1
		SCFD1
		MAGEA3
		ADCK2
		ZNF354A
		XYLT2
		BCL6
		FGFR4
		POR
		SREBF2
		SNHG28
		TGFB1
		TINAGL1
		PAX2
		BIRC2
		TNFRSF8
		PLS3
		TIMP1
		PLOD2
		CHIT1
		MRC1
		ABT1
		IL13
		CD86
		CALM2
		LFNG
		IBSP
		AGA
		STAT1
		HYAL2
		IGFBP5
		MMP12
		CARD16
		HABP2
		PTGER4
		CCR7
		CD68
		KCNQ1
		MIR338
		PRDM1
		SLC26A6
		PIGB
		MIR335
		PTPRC
		CCR4
		CD14
		HMGCR
		IL19
		COL9A3
		GGT1
		COL9A1
		ZNF664
		TCF7L1
		INS
		FLT1
		SIRT7
		EXT1
		SMAD2
		CCS
		PALM
		MIR135A1
		SYNE3
		MIR301A
		SLEN3
		SRSF7
		HDAC4
		MIR1236
		FAM102A
		GSTM1
		CRH
		PRSS2
		ACP5
		CORT
		SCARNA18
		POSTN
		FTO
		CYP27B1
		COPE
		TNFSF11
		ICMT
		DANCR
		DAZAP2
		IKBKB
		BOK
		ADAMTS15
		KRTAP4-11
		UNC5C
		HOXD10
		CHI3L2
		CTLA4
		MIRLET7B
		CSGALNACT1
		APOH
		NPHS2
		UFSP2
		IL17F
		P3H2
		LOC106728418
		RPL34
		HLA-DPB1
		ATF2
		TRPV4
		MAPK8
		ACVR1
		HLA-DQA2
		RFC1
		MAP2K7
		GZMB
		FCGR3B
		BMP1
		LACC1
		CYP3A43
		HLA-G
		LRP2
		PMAIP1
		CCL1
		MIR106A
		SOCS1
		ROBO3
		SLC35D1
		MIR25
		SRC
		LOC101448202
		IL1RN
		MIR9-2
		MAFB
		CA3
		TWIST2
		COL6A4P2
		SP3
		ADAMTS3
		TNFRSF13B
		SLC39A8
		STS
		IL4R
		CCL5
		BTNL2
		TGIF1
		TP53
		MAP1LC3A
		MIR373
		MIR455
		RELB
		NLRP1
		TGFBR3
		CTAG1B
		CASP9
		PDCD1
		RIPPLY1
		AKR1C1
		CARS1
		CENPP
		BRD2
		IL32
		LAMP2
		MIR671
		MIR365A
		ADAM17
		F5
		LYZ
		PDZD11
		CFLAR
		PITRM1
		GHRHR
		MIR150
		CD22
		IDH1
		XRCC5
		AHSG
		FXYD1
		NFKB1
		SIRT1
		LDB1
		ABCC1
		MIR27B
		IL1B
		LOC106146144
		IGF2R
		FGF21
		SIAE
		ZMPSTE24
		DDX39B
		MIR381
		TRAPPC3
		HAMP
		IL21
		EPAS1
		PRELP
		MIR634
		TBX6
		MIR1277
		GLB1
		HGFAC
		CYBRD1
		MMP10
		TFF1
		ACTG1
		CALM1
		COL27A1
		HAVCR2
		CKM
		ESR2
		MESP2
		OTOG
		SLC17A5
		HGF
		PIPOX
		PYCARD
		MIR29A
		ACSL4
		CAPZB
		PDE4A
		SOX2
		COMT
		MIR26A1
		PDLIM5
		SPHK2
		XYLT1
		LOC106627981
		GNPTG
		SLC6A3
		STT3B
		CCL13
		PLOD1
		PDE6A
		DIO3
		TGFB2-OT1
		PLAU
		RAC1
		ANXA1
		C1R
		CILP
		BTLA
		SERPINB5
		GPR180
		SYNE2
		TUG1
		CD1D
		NGF
		GPR101
		MIR9-3
		GJA1
		NSD2
		SLC23A2
		MIR30A
		LIN54
		NR1H3
		HPS6
		MTHFR
		ATF3
		MIR561
		P3H1
		DVL2
		GDF6
		HIF3A
		GGA3
		LGALS1
		ALK
		TRPV6
		TMEM222
		BDNF
		CDKN1B
		FOXC1
		SEMA3A
		STEAP3
		MIR454
		LOC106050103
		CSF1
		MUC1
		ULK1
		BDKRB2
		ADAMTS9
		GCM2
		FKBP14
		IGFALS
		APOB
		CASP8
		CASC3
		LAG3
		KRAS
		ERAP1
		ATP7A
		JAG1
		CALCA
		DLL1
		SUN1
		MAPT
		HLA-DQB1
		NRAS
		CXCL8
		HDAC9
		PBRM1
		TRAPPC2B
		SLC34A1
		NR3C1
		MIR300
		F11
		MAP2K6
		EMP1
		PPP1CC
		YY1
		TRAPPC2L
		MTOR
		STEAP4
		CCN2
		CDK6
		SLC22A11
		CSK
		TUFT1
		CTSS
		FBLN1
		NEMP2
		SUB1
		INF2
		NCR3
		GGTLC3
		CCR2
		DRD2
		LTB
		CSF3
		RBBP4
		PRKAR1A
		ASIC1
		HS6ST2
		PDPK1
		CD2AP
		IL22
		RPS26
		MIR103A1
		ENSG00000259039
		GFM1
		OPTC
		PLEKHA7
		ADAM10
		SULT2A1
		GALC
		MT-CO3
		CHST14
		SLC6A13
		NOX4
		VWF
		DDH2
		VTN
		CYP2E1
		IL15
		PAPPA2
		TP53COR1
		OSTM1
		CLCN7
		AGTR1
		GBA
		ESD
		PRDX5
		OA3
		NT5C1B
		ICOSLG
		CCK
		ADRB2
		HJV
		CD3D
		CSMD1
		CTSD
		HPGD
		IL3
		TP53BP1
		FOXD2-AS1
		LARP6
		SERPINF2
		FMO1
		MIR4497
		CHKA
		AIP
		TNFRSF13C
		HCG14
		IL12A
		ARNTL
		FUZ
		CCL2
		MIR125A
		OR2D2
		M6PR
		MAZ
		DOT1L
		EIF2AK3
		ANXA5
		ANGPT1
		UFC1
		HMGA2
		XCL2
		HSP90AA1
		LAMP5
		PARP1
		NARS1
		BAG6
		ITGA4
		MIR105-1
		BLOC1S1
		ROCK1
		TAGLN
		TPSAB1
		ENG
		TK1
		KIR2DS4
		KDR
		SPDT
		PLA2G3
		MMP28
		HPD
		ST3GAL6-AS1
		MFAP4
		SLC11A2
		MEN1
		LOC106146150
		MYD88
		TNC
		LRP6
		MIR145
		PPARA
		RACK1
		CD244
		MIR30B
		TMSB15A
		KCNJ1
		UGT1A9
		CRYAA
		CABP4
		BCL2L11
		INHBA
		UGDH
		IGF2
		LRRK1
		CD80
		RARRES2
		DDRGK1
		STARD10
		MIR486-1
		PRKG1
		SUV39H1
		MBD6
		CYTL1
		ZNF23
		FGF7
		IL37
		TAT
		CLCN5
		GPR143P
		IL2
		GRIN2D
		MIR196A1
		FIP1L1
		GNAQ
		XPA
		IRF5
		PLEKHM1
		MICB
		ZNF346
		RIPK1
		CPNE3
		GJB2
		ICAM1
		RECK
		FGF18
		CD19
		LGALS9
		SCARB2
		MAPK3
		CRBN
		MIR940
		MICAL3
		CTSL
		TTI2
		GATB
		MIR181A1
		GSTA3
		RCE1
		TCIRG1
		ERVK-18
		GRN
		GLYAT
		TGFA
		ANPEP
		MMP17
		MIR10B
		PRLR
		GDF5
		CHIA
		NPSR1
		OS4
		NPPC
		ZEB2
		CYLD
		MIR16-1
		PRRC2A
		DKK1
		NR1H4
		NEDD8
		NAA30
		MIR139
		CD5
		OPRM1
		MIR29C
		LECT2
		CCL21
		ITIH1
		IL16
		MSTN
		SERPINE1
		HFE
		SMN1
		ATAT1
		VCAM1
		REL
		GALE
		SLC26A5
		NCALD
		FLG
		IFNA1
		HHIP
		MEG3
		ADH1B
		LOC106627982
		MLANA
		PKM
		CXCL5
		TRAPPC4
		IDUA
		CCND2
		CXCL6
		SNORD19
		SIK3
		LMX1B
		ITGB3
		SYVN1
		BECN1
		LGALS8
		GPT2
		SAA2
		PTGS1
		EIF4G2
		CD69
		LTA
		IFNB1
		MIR499A
		KLK11
		TMSB4X
		HGSNAT
		CCL3
		LIG3
		MIR186
		ATIC
		ONECUT2
		CAST
		LGR4
		TSBP1-AS1
		PSMB10
		FLNA
		CD274
		BAX
		FDPS
		HPBP
		CP
		LOC110283621
		PRKCA
		GHSR
		TUBB4A
		SMYD1
		PDGFC
		PEPD
		MIR212
		FGF23
		PAH
		HDAC6
		PSMB9
		CSF2
		GHRH
		RPS6KB1
		MIR320C1
		ADIPOQ
                                                                                                               2	4080	AACS
		CTSL1P2
		HAUS2
		NARG2
		NDUFS6
		KLHL13
		GLT1D1
		ABCC6
		PBX4
		STOX1
		ATP5F1
		AEN
		GFOD2
		KCNG1
		SALL1
		NCF4
		ACOT12
		RPS18
		CFHR5
		SLC35G3
		CXCL3
		FLJ20444
		LRRC6
		ANGPTL5
		LOC399708
		FAM134B
		WISP2
		CPXM2
		HIST1H4J
		LOC389332
		UTY
		TRIB3
		SLC2A5
		ATP5G2
		COL4A5
		RGN
		CCNB1
		FLJ44896
		FAT4
		TMEM42
		DIRAS1
		LOC100216546
		FGR
		KCNK6
		PDE1C
		XK
		FER1L6-AS1
		MREG
		NOSTRIN
		LYAR
		OR2V2
		MAX
		CAPS
		LONP1
		SRPK1
		RRP7A
		TMEM132E
		STGC3
		KIAA1199
		SORL1
		ARL6IP1
		LOC151657
		RPL7A
		CHD1
		C20orf27
		ECH1
		MAPKAPK2
		C9orf43
		EPT1
		ITGA3
		ZNF510
		SLC26A10
		BMP3
		GADL1
		LPAR4
		NUDT9P1
		PRKCB
		NOXO1
		LOC100289388
		A2M
		PHLDB3
		HIGD1B
		SLCO2B1
		GRPEL1
		RELT
		C11orf93
		LOC645967
		ANXA3
		LINC00256B
		PPP1R15B
		CPNE4
		LOC100134365
		GTPBP1
		CLC
		RAB33B
		C1QTNF3
		RFPL2
		C1orf61
		TRAF5
		CST7
		LOC285740
		ANO5
		NEIL1
		C16orf45
		OR6C1
		LINC00261
		CCL19
		ARHGEF9
		STARD5
		PPIL1
		C19orf10
		NS3BP
		HIST3H3
		SIAH3
		NAT8L
		PGBD5
		CCNE1
		DUSP4
		LOC96610
		EXOSC7
		HIST1H1E
		ISM1
		CORO2A
		PABPC5
		TNNT3
		BPIFB2
		GYPC
		NR2E3
		GMPR
		RNF4
		LOC152225
		NRARP
		PLEKHG4
		SYT13
		EPB42
		DUS3L
		HIST1H2AD
		C5orf13
		LOC283484
		C17orf99
		MZB1
		GDF10
		GPN2
		OPHN1
		PRSS45
		TUBB
		RARRES3
		LOC100130778
		FNDC1
		CD82
		LOC100132526
		SYT12
		CBLL1
		MYH6
		LIM2
		KLHL30
		LOC100130811
		TMEM156
		ORC1
		SAMSN1
		FAM82A2
		HPCA
		ZNF284
		SEC14L1
		C12orf75
		ID1
		COL18A1
		FCN1
		COX8A
		ADAM32
		FUS
		EMX2
		SEC1
		TOX3
		CRHBP
		MMP15
		DNAH11
		CDC42BPA
		RCSD1
		FLJ33534
		GRXCR2
		LSM4
		RHOH
		AKR1B15
		RHBDF1
		UPF3A
		CHST6
		CROCCP3
		BTF3
		MAPK10
		COX7A2
		SLX1A
		PDP1
		FERMT3
		ZNFX1-AS1
		GLIS2
		ATF7
		ABCF2
		COL7A1
		UBN2
		NFIL3
		CD53
		COX10
		HIST1H2BJ
		GCA
		ARPC4-TTLL3
		LOC100505683
		LOC646482
